id,submission_date,occpatn_shopkeeper_pre_covid,occpatn_tour_guide_pre_covid,occpatn_trekking_guide_pre_covid,occpatn_rafting_guide_pre_covid,occpatn_mountain_guide_pre_covid,occpatn_driver_pre_covid,occpatn_travel_agent_pre_covid,occpatn_flight_attendent_pre_covid,occpatn_pilot_pre_covid,occpatn_cook_pre_covid,occpatn_hotel_manager_pre_covid,occpatn_hotel_staff_pre_covid,occpatn_waiter_pre_covid,occpatn_bartender_pre_covid,occpatn_porter_pre_covid,other_occpatn_pre_covid,had_frml_employment_contract_pre_covid,had_pan_pre_covid,wrk_type_seasonal_pre_covid,wrk_type_daily_wages_pre_covid,wrk_type_monthly_salary_pre_covid,other_wrk_type_pre_covid,sesonal_work_period,gender_individual,age_individual,education_level_individual,years_of_experience_individual,permanent_district_individual,temporary_district_individual,trsm_major_work_district
181454796,2021-05-31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Kathmandu,"Baglung, Bhaktapur, Chitawan, Dailekh, Dhading, Dolakha, Dolpa, Gorkha, Gulmi, Humla, Ilam, Jajarkot, Jhapa, Jumla, Kailali, Kalikot, Kanchanpur, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Khotang, Lalitpur, Lamjung, Makwanpur, Manang, Mugu, Mustang, Myagdi, Nawalpur, Nuwakot, Okhaldhunga, Palpa, Panchthar, Parbat, Pyuthan, Ramechhap, Rasuwa, Rolpa, Rukum East, Rupandehi, Sankhuwasabha, Sindhuli, Sindhupalchok, Solukhumbu, Surkhet, Tanahu, Taplejung, Terhathum"
180535647,2021-05-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4 to 6 months,Male,41 - 60 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,"Chitawan, Kaski, Manang, Mustang, Rasuwa, Solukhumbu, Taplejung"
172149666,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Sindhuli,Kathmandu,"Gorkha, Kaski, Manang, Rasuwa, Solukhumbu"
172148949,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Rasuwa,Chitawan,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172148572,2021-04-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Female,21 - 40 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,"Chitawan, Dhading, Kaski, Manang, Mustang, Sindhupalchok"
172148135,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Dolakha,Kathmandu,"Dolakha, Gorkha, Morang, Solukhumbu, Taplejung"
172147628,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Ramechhap,Kathmandu,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172147212,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Kaski, Manang, Rasuwa, Sankhuwasabha, Solukhumbu"
172146388,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172145729,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Kaski, Manang, Mustang, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
172145130,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,Can read and/or write,11 to 15 years,Okhaldhunga,Kathmandu,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
180979315,2021-05-29,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Kathmandu,"Dhading, Gorkha, Kaski, Kathmandu, Manang, Mustang, Myagdi"
172200473,2021-04-18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4 to 6 months,Female,21 - 40 years,Bachelor's degree or equivalent,6 to 10 years,Chitawan,Kathmandu,"Bhaktapur, Chitawan, Kaski, Kathmandu, Lalitpur, Manang, Solukhumbu"
171799898,2021-04-15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Bajhang, Bardiya, Bhojpur, Chitawan, Darchula, Dhading, Dolakha, Dolpa, Gorkha, Humla, Jajarkot, Kalikot, Kapilbastu, Kaski, Kavrepalanchok, Lamjung, Manang, Mugu, Mustang, Myagdi, Ramechhap, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
171804013,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Sankhuwasabha,Kathmandu,"Baglung, Bhaktapur, Chitawan, Darchula, Gorkha, Ilam, Jumla, Kaski, Kathmandu, Lalitpur, Manang, Mugu, Mustang, Myagdi, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Sunsari, Taplejung"
171806393,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,11 to 15 years,Solukhumbu,Solukhumbu,Gorkha
171807687,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Chitawan, Dolpa, Gorkha, Ilam, Kailali, Manang, Mustang, Solukhumbu"
171807814,2021-04-15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,Bachelor's degree or equivalent,11 to 15 years,Kaski,Kaski,"Gorkha, Kapilbastu, Kaski, Kathmandu, Manang, Mustang, Myagdi, Tanahu"
171809814,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Male,21 - 40 years,10+2 or equivalent,11 to 15 years,Solukhumbu,Solukhumbu,"Dolakha, Dolpa, Gorkha, Humla, Kathmandu, Lamjung, Mugu, Mustang, Myagdi, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
171810233,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,Male,41 - 60 years,Can read and/or write,15 years or more,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Gorkha, Humla, Jumla, Kaski, Kathmandu, Manang, Mustang, Rasuwa, Solukhumbu"
171813869,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 to 6 months,Female,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Gorkha,Solukhumbu
171815799,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,15 years or more,Solukhumbu,Kathmandu,"Bardiya, Bhaktapur, Chitawan, Dailekh, Dhankuta, Dolpa, Kaski, Kathmandu, Khotang, Manang, Mustang, Myagdi, Okhaldhunga, Palpa, Ramechhap, Rasuwa, Rukum East, Solukhumbu"
171815807,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1 to 3 months,Male,21 - 40 years,10+2 or equivalent,3 to 5 years,Solukhumbu,Kathmandu,Solukhumbu
171817761,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1 to 3 months,Male,41 - 60 years,10+2 or equivalent,15 years or more,Solukhumbu,Kathmandu,"Chitawan, Dolpa, Gorkha, Humla, Kaski, Kathmandu, Lamjung, Manang, Mustang, Myagdi, Rasuwa, Solukhumbu, Taplejung, Terhathum"
171818129,2021-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Male,Less than 20 years,SLC or equivalent,0 to 2 years,Kathmandu,Sankhuwasabha,"Gorkha, Kaski, Kathmandu, Lamjung, Manang, Myagdi"
171818416,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Female,21 - 40 years,Bachelor's degree or equivalent,11 to 15 years,Kathmandu,Kathmandu,"Dolakha, Dolpa, Gorkha, Kathmandu, Mustang, Solukhumbu, Taplejung"
171818717,2021-04-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Khotang,Kathmandu,Solukhumbu
171819765,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4 to 6 months,Male,21 - 40 years,Bachelor's degree or equivalent,6 to 10 years,Rasuwa,Rasuwa,"Baglung, Bhaktapur, Chitawan, Gorkha, Kaski, Kathmandu, Lamjung, Manang, Mustang, Myagdi, Nuwakot, Ramechhap, Rasuwa, Sindhupalchok, Solukhumbu"
171821245,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,15 years or more,Solukhumbu,Kathmandu,"Bhaktapur, Chitawan, Dhading, Gorkha, Humla, Ilam, Jhapa, Kaski, Kathmandu, Lalitpur, Lamjung, Manang, Mustang, Myagdi, Nuwakot, Okhaldhunga, Panchthar, Ramechhap, Rasuwa, Sindhupalchok, Solukhumbu, Tanahu, Taplejung"
171825684,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1 to 3 months,Male,21 - 40 years,10+2 or equivalent,3 to 5 years,Solukhumbu,Kathmandu,Solukhumbu
171826580,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Solukhumbu,"Bhaktapur, Chitawan, Dolpa, Ilam, Kathmandu, Mustang, Solukhumbu, Taplejung"
171835407,2021-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1 to 3 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Gorkha, Kaski, Kathmandu, Kavrepalanchok, Manang, Mustang, Myagdi, Rasuwa, Solukhumbu"
171883818,2021-04-16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Male,41 - 60 years,Bachelor's degree or equivalent,15 years or more,Solukhumbu,Kathmandu,"Kathmandu, Solukhumbu"
171884920,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,11 to 15 years,Khotang,Kathmandu,"Chitawan, Dolpa, Gorkha, Kaski, Lamjung, Manang, Mustang, Myagdi, Rasuwa, Sindhupalchok, Solukhumbu"
171884981,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,11 to 15 years,Gorkha,Kathmandu,"Baglung, Darchula, Dhading, Dolpa, Gorkha, Gulmi, Humla, Jumla, Kaski, Kathmandu, Kavrepalanchok, Lamjung, Manang, Mugu, Mustang, Myagdi, Nuwakot, Ramechhap, Rasuwa, Sindhuli, Tanahu"
171886164,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Khotang,Kathmandu,"Kaski, Mustang, Sankhuwasabha, Sindhupalchok, Solukhumbu"
171886676,2021-04-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,21 - 40 years,Master's degree or higher,6 to 10 years,Gorkha,Kathmandu,"Chitawan, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Lalitpur, Solukhumbu, Tanahu"
171891078,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4 to 6 months,Male,21 - 40 years,Bachelor's degree or equivalent,15 years or more,Rasuwa,Chitawan,"Dhading, Gorkha, Kaski, Kathmandu, Lamjung, Manang, Mustang, Rasuwa, Solukhumbu"
171891835,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1 to 3 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Dolakha,Kathmandu,"Dolakha, Dolpa, Gorkha, Ilam, Kaski, Lamjung, Manang, Mustang, Sindhupalchok, Solukhumbu, Taplejung"
171892100,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,Bachelor's degree or equivalent,15 years or more,Syangja,Kaski,"Chitawan, Dhading, Dolpa, Gorkha, Humla, Jumla, Kalikot, Kaski, Manang, Mugu, Mustang, Myagdi, Parbat, Rasuwa, Rolpa, Rukum East, Rukum West, Solukhumbu, Syangja"
171892145,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,11 to 15 years,Solukhumbu,Kathmandu,"Banke, Bardiya, Chitawan, Dadeldhura, Darchula, Dolakha, Dolpa, Gorkha, Humla, Jajarkot, Jumla, Kapilbastu, Kaski, Kavrepalanchok, Lamjung, Mugu, Mustang, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
171892536,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,10+2 or equivalent,15 years or more,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Gorkha, Kaski, Kathmandu, Manang, Mustang, Rasuwa, Sankhuwasabha, Solukhumbu, Taplejung"
171892707,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,21 - 40 years,Can read and/or write,15 years or more,Sindhuli,Kathmandu,"Bajhang, Chitawan, Kaski, Manang, Mustang, Myagdi, Rasuwa, Solukhumbu"
171892784,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Gorkha, Humla, Manang, Rasuwa, Solukhumbu"
171893120,2021-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4 to 6 months,Male,Less than 20 years,Can read and/or write,3 to 5 years,Solukhumbu,Solukhumbu,Solukhumbu
171893423,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Dolakha, Gorkha, Manang, Solukhumbu"
171893862,2021-04-16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,Can read and/or write,6 to 10 years,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Gorkha, Manang, Mustang, Solukhumbu"
171894384,2021-04-16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,15 years or more,Sankhuwasabha,Kathmandu,"Manang, Sankhuwasabha"
171894512,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Bhojpur,Kathmandu,"Kaski, Kathmandu, Manang, Solukhumbu"
171900587,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1 to 3 months,Male,21 - 40 years,Can read and/or write,6 to 10 years,Solukhumbu,Kathmandu,Solukhumbu
171937664,2021-04-16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,Bachelor's degree or equivalent,11 to 15 years,Tanahu,Kathmandu,"Bhaktapur, Chitawan, Dolakha, Dolpa, Gorkha, Humla, Jajarkot, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Lalitpur, Lamjung, Manang, Mugu, Mustang, Myagdi, Nuwakot, Okhaldhunga, Palpa, Rasuwa, Rolpa, Rukum East, Rukum West, Rupandehi, Sankhuwasabha, Sindhuli, Sindhupalchok, Solukhumbu, Surkhet, Syangja, Tanahu, Taplejung, Terhathum"
171947698,2021-04-16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,Bachelor's degree or equivalent,15 years or more,Makwanpur,Kathmandu,"Bhaktapur, Chitawan, Dhanusa, Gorkha, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Lalitpur, Lamjung, Manang, Mustang, Myagdi, Nuwakot, Palpa, Rasuwa, Rupandehi, Solukhumbu"
171948287,2021-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,3 to 5 years,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Gorkha, Humla, Jumla, Kapilbastu, Kaski, Lamjung, Manang, Mustang, Myagdi, Nuwakot, Okhaldhunga, Ramechhap, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung, Terhathum"
172061752,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,41 - 60 years,Can read and/or write,15 years or more,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Gorkha, Humla, Ilam, Jajarkot, Jhapa, Jumla, Kalikot, Kaski, Lamjung, Manang, Mugu, Mustang, Myagdi, Nuwakot, Okhaldhunga, Ramechhap, Rasuwa, Rolpa, Rukum East, Rukum West, Sankhuwasabha, Solukhumbu, Taplejung"
172064738,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1 to 3 months,Male,21 - 40 years,Can read and/or write,15 years or more,Solukhumbu,Solukhumbu,Solukhumbu
172090178,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Kaski, Manang, Mugu, Mustang, Solukhumbu"
172091285,2021-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Solukhumbu,Solukhumbu
172092465,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Gorkha,Kathmandu,Solukhumbu
172092859,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1 to 3 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Dolakha, Dolpa, Jumla, Kaski, Manang, Mugu, Mustang, Myagdi, Sindhupalchok, Solukhumbu, Taplejung"
172094222,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 to 6 months,Male,41 - 60 years,SLC or equivalent,11 to 15 years,Sunsari,Kathmandu,"Dolakha, Gorkha, Kaski, Morang, Rasuwa, Solukhumbu"
172095618,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Gorkha, Manang, Rasuwa, Solukhumbu"
172096421,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Sankhuwasabha,Kathmandu,"Dolakha, Kaski, Manang, Rasuwa, Solukhumbu"
172097412,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Rukum East,Kathmandu,"Dolpa, Rukum East, Rukum West"
172098160,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Male,21 - 40 years,Bachelor's degree or equivalent,6 to 10 years,Khotang,Kathmandu,"Kaski, Rasuwa, Solukhumbu"
172099858,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,Can read and/or write,11 to 15 years,Solukhumbu,Kathmandu,"Kaski, Manang, Rasuwa, Solukhumbu"
172100804,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,Solukhumbu
172138257,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Chitawan, Dolakha, Dolpa, Gorkha, Gulmi, Humla, Ilam, Jajarkot, Manang, Mustang, Okhaldhunga, Solukhumbu"
172150003,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,SLC or equivalent,15 years or more,Jhapa,Kathmandu,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172150527,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Ramechhap,Kathmandu,"Dolakha, Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172151166,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,Bachelor's degree or equivalent,6 to 10 years,Ilam,Kathmandu,"Gorkha, Kaski, Rasuwa, Solukhumbu"
172152020,2021-04-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Female,21 - 40 years,SLC or equivalent,6 to 10 years,Udayapur,Kathmandu,"Dhading, Kaski, Sindhupalchok"
172152624,2021-04-17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7 to 9 months,Female,21 - 40 years,10+2 or equivalent,6 to 10 years,Rasuwa,Lalitpur,"Dhading, Gorkha, Kaski, Manang, Mustang, Rasuwa, Sindhupalchok, Solukhumbu"
172170382,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,Male,41 - 60 years,Can read and/or write,15 years or more,Solukhumbu,Kathmandu,"Mustang, Solukhumbu"
172181094,2021-04-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,Can read and/or write,15 years or more,Sankhuwasabha,Kathmandu,"Bhaktapur, Gorkha, Kaski, Kathmandu, Lalitpur, Lamjung, Manang, Mustang, Myagdi, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
172197302,2021-04-18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,41 - 60 years,SLC or equivalent,11 to 15 years,Gorkha,Kathmandu,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172198695,2021-04-18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Gorkha,Kathmandu,"Gorkha, Kaski, Manang, Rasuwa, Solukhumbu"
172199626,2021-04-18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7 to 9 months,Female,21 - 40 years,Bachelor's degree or equivalent,6 to 10 years,Chitawan,Kathmandu,"Bhaktapur, Chitawan, Kaski, Kathmandu, Lalitpur, Rasuwa"
172202083,2021-04-18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Sankhuwasabha,Kathmandu,"Dolakha, Dolpa, Gorkha, Kaski, Manang, Mugu, Mustang, Solukhumbu"
